Salary;Work_Type;Company_Size;Role;Company;Percent
47200;стажер;26801;менеджер по социальным сетям;Icahn Enterprises;102
44800;Стажер;100340;Фронтенд веб-разработчик; PNC Financial Services Group;97
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.;102
52000;полный рабочий день;129896;инженер беспроводной сети;Hess;111
51200;стажер;53944;менеджер по проведению конференций;Cairn Energy;111
47200;Полная занятость;23196;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone;95
50400;временная;26119;классный руководитель;FedEx;102
52000;контракт;40558;дизайнер пользовательского интерфейса;Ryder System;111
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises;105
48000;полный рабочий день;102069;свадебный консультант;CSX;102
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка;97
51200;контракт;117285;адвокат по семейному праву;TPG Telecom;109
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG;110
44800;временная;127900;аналитик по сетевой безопасности;EnLink Midstream;91
45600;полный рабочий день;92128;менеджер по работе с клиентами;NGL Energy Partners;97
52000;неполный рабочий день;92028;бренд-менеджер по продукции;Bayer AG;110
48000;неполный рабочий день;49100;социальный работник в школе;Deere;102
44000;полный рабочий день;29318;создатель контента;Mondelez International;94
44000;контракт;126630;Аналитик по доставке; 3M;94
52000;временный;48199;координатор по кадрам;KKR;109
49600; полный рабочий день;64351;юридический секретарь;NGL Energy Partners;106
51200;Стажер;118041;Семейная медсестра;EasyJet;111
46400;Стажер;40723;Стратег по работе с клиентами;Otis Worldwide;101
49600;Временная;127385; Бэкэнд разработчик; Oil Search;101
48000;Временная;28043;Координатор цепочки поставок;HCL Technologies;97
46400;Временная;81318;Координатор цепочки поставок;DTE Energy;94
47200;Контракт;105370;B2B Консультант по продажам;Associated British Foods;100
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy;108
50400;стажер;93670;аналитик центра управления безопасностью;Deutsche Post DHL Group;109
52000;стажер;56930; фронт-энд разработчик;Bodycote;113
44000;Стажер;64185;Специалист по планированию налогов;Old Republic International;95
52000;неполный рабочий день;101834;Координатор мероприятий;United Airlines Holdings;110
45600;контракт;130962;клинический психолог;Tenet Healthcare;97
52000;контракт;38044;инженер-электрик;Regions Financial;111
49600;Временная;27725;Дизайнер по освещению;CBRE Group;101
46400;неполный рабочий день;35273; Бизнес-аналитик;Отель Луна;98
48000;стажер;103693;контент-писатель;Corning;104
51200;временная;29884;дизайнер пользовательского интерфейса;Leidos Holdings;104
45600;неполный рабочий день;104700;персональный налоговый консультант;Divi's Laboratories;97
46400;полный рабочий день;47107;тестировщик автоматизированного оборудования; Tata Consumer Products;99
44800;стажер;61246; руководитель отдела продаж;Fannie Mae;97
44000; частичная занятость;43665;специалист по ИТ-поддержке;Spotify Technology S.A.;96
49600;стажер;125427;специалист по работе с клиентами;Bajaj Auto;108
52000;неполный рабочий день;57134;менеджер по социальным сетям;Renishaw;110
44800;временный;55648;разработчик баз данных;News Corp.;93
47200;Стажер;107738;Исследователь в области социальных наук;KKR;102
44800;Временная;91636; Регистратор; Arconic;91
51200;стажер;43166;штатная медсестра;Revlon;111
47200;временная;99455;международный налоговый консультант;Dow;96
45600;временный;21827;аналитик по рискам;Seaboard;95
49600;временная;65648;логопед;Всезнайка;101
44000;контракт;65183;региональный директор по продажам;Enterprise Products Partners;94
47200;полный рабочий день;73840;консультант по вопросам психического здоровья;Bayer AG;101
47200;частичная занятость;25713; Семейная медсестра-практикант;Carrier Global;104
51200;Временная;14771;Градостроитель;UnitedHealth Group;104
48000;Временная;90064;Менеджер по работе со стратегическими клиентами;Avnet;97
50400;Стажер;48875;Исследователь пользователей;UGI;109
45600;временный;18334;менеджер по работе с клиентами;Disney+;95
52000;неполный рабочий день;45782;финансовый аналитик;General Electric;110
52000;стажер;58759;техник по поддержке настольных компьютеров;Brighthouse Financial;113
48800;временная;40875;художественный куратор;Deutsche Pfandbriefbank AG;99
45600;Полная занятость;42159;Sales Account Executive;GlaxoSmithKline;92
44800;контракт;121311;разработчик мобильных приложений;Starbucks;95
52000;стажер;54212;Agile Project Manager;Hindalco Industries;113
52000;Полная занятость;110983;инженер-строитель;Lincoln National;105
44000;частичная занятость;85922;менеджер по обеспечению качества обслуживания;HCL Technologies;96
47200;полный рабочий день;22971;аналитик по закупкам;Nestle India;101
50400;стажер;87873;семейный консультант;Электрокомпоненты;109
51200;стажер;77894;аналитик по логистике;Community Health Systems;111
44800;стажер;58034;архитектор данных;Equitable Holdings;97
51200;неполный рабочий день;128742;региональный директор по продажам;Bajaj Finserv;108
46400;контракт;24654;аналитик по логистике;PulteGroup;99
44800;неполный рабочий день;39267;дизайнер пользовательского интерфейса;Stockland Corporation;95
52000;контракт;92865;аналитик по обеспечению качества;Group 1 Automotive;111
51200;контракт;32898;аналитик по обеспечению качества;Altria Group;109
48000;Полная занятость;93691;Специалист по документации;Reynolds American Inc.;97
44000;полный рабочий день;76275;финансовый бухгалтер;Huntsman;94
44800;контракт;49909;представитель по внутренним продажам;Вкусно и точка;95
50400;контракт;14944;менеджер по работе со стратегическими клиентами;Republic Services;107
44000;Стажер;129177;Аналитик по сетевой безопасности;Republic Services;95
48800;Стажер;72619;Менеджер по инвентаризации;Continental AG;106
44800;контракт;112909;инженер по автоматизированному тестированию;Tesla;95
52000;Полная занятость;64602;Дизайнер пользовательского интерфейса;Continental Resources;105
45600;Полная занятость;61676;торговый представитель;Henkel AG & Co. KGaA;92
50400;стажер;106271;консультант по устойчивому развитию;WESCO International;109
47200;временная;36167;инженер по электронному оборудованию;Unilever;96
52000;временная;117330;специалист по системной интеграции;NRG Energy;105
44800;Полная занятость;80811;Бренд-стратег;InterContinental Hotels Group;90
44000;полный рабочий день;122985;инженер-электрик;Revlon;94
48800;временная;18123;медсестра-практикант по оказанию неотложной помощи;Ceconomy AG;99
46400;неполный рабочий день;103289;судебный адвокат;Constellation Brands;98
48000;контракт;42479;инженер по сетевой безопасности;Interpublic Group;102
45600;временная;25355;психолог-исследователь;Auto-Owners Insurance;92
51200;неполный рабочий день;87550;координатор художественного образования;ODP;108
46400;неполный рабочий день;38678;менеджер по привлечению талантов;Titan Company;98
48800;контракт;61963;классный руководитель;страховая биржа Farmers;104
44000;контракт;83361;специалист по контролю за запасами;Publix Super Markets;94
46400;контракт;53541;корпоративный юрист;Otis Worldwide;99
46400;неполный рабочий день;28546;разработчик баз данных SQL;US Foods Holding;98
47200;временная;131928;менеджер по закупкам;Croda International;96
50400;Стажер;31092;IT-аналитик;Travelers;109
44000;Стажер;39646;Практикующая медсестра по оказанию неотложной помощи;Textron;95
49600;стажер;71394;менеджер по работе с ключевыми клиентами;Ulta Beauty;108
48800;временная;70396;креативный копирайтер;American Electric Power;99
51200;Стажер;97571;Менеджер по закупкам;UnitedHealth Group;111
47200;временная;84264;SEO-специалист;Tencent Holdings;96
51200;Контракт;50052; фронт-энд разработчик;Otis Worldwide;109
48800;Контракт;72807;Координатор мероприятий;Tullow Oil;104
49600;полная занятость;130966; руководитель отдела по работе с клиентами;Qualcomm;100
51200;контракт;102861;консультант по продажам B2B;AutoNation;109
47200;неполный рабочий день;86718;разработчик баз данных;Peter Kiewit Sons;100
44800;контракт;120930;менеджер строительных проектов;General Mills;95
48000;полный рабочий день;16792;менеджер по социальным сетям;Western Digital;102
48000;Полная занятость;25307;Instructional Designer;PNC Financial Services Group;97
48800;частичная занятость;50004;контент-стратег;Farmers Insurance Exchange;107
52000;стажер;106859;координатор обучения;CIMIC Group;113
52000;Временная;15831;Координатор по подбору персонала;Alibaba Health Information Technology;105
52000;неполный рабочий день;56816;менеджер по стратегическим партнерствам;Tenet Healthcare;110
50400;Стажер;43783; Java бэкэнд разработчик;Exelon;109
51200;неполный рабочий день;32405;руководитель группы продаж;SAP SE;108
50400;временная;88586;детский логопед;IBM (International Business Machines Corporation);102
44000;контракт;18697;инженер по большим данным;Fidelity Investments;94
50400;стажер;12938;инженер по базам данных NoSQL;Intercontinental Exchange;109
44800;стажер;28874;планировщик спроса;Power Grid Corporation of India;97
48000;стажер;88454;свадебный дизайнер;Consolidated Edison;104
48000;неполный рабочий день;75509;организатор мероприятий;Northrop Grumman;102
48000;полный рабочий день;70223;техник по поддержке настольных компьютеров;Corteva;102
44000;стажер;24942;портфельный менеджер;Icahn Enterprises;95
49600;контракт;19832;гериатрическая медсестра-практикант;Colgate-Palmolive;106
46400;временная;44367;JavaScript разработчик;SF Express;94
44000;контракт;114433;менеджер по работе с клиентами;Huntsman;94
47200;стажер;79091;координатор закупок;Dover;102
52000;частичная занятость;69645;инженер по большим данным;Lendlease Group;114
45600;Полная занятость;108139;Специалист по планированию перевозок;Asbury Automotive Group;92
52000;Полная занятость;54319;менеджер по работе с ключевыми клиентами;TD Ameritrade Holding Corporation;105
45600;временный;126754;логопед для взрослых;Britannia Industries;95
44800;Контракт;126200;Координатор льгот;Muthoot Finance;95
49600;контракт;57845;дизайнер интерьера;Dana;106
44800;полный рабочий день;127707;инвестиционный аналитик;Aflac;96
44800;стажер;67492;менеджер кампаний по электронной почте;Quanta Services;97
48800;контракт;105454;специалист по устойчивому развитию;Ashtead Group;104
48000;частичная занятость;67760; Разработчик серверных приложений;Glenmark Pharmaceuticals;105
46400;полный рабочий день;31344;системный администратор;Eastman Chemical;99
48000;неполный рабочий день;35925;инженер-проектировщик;Carnival Corporation & plc;102
50400;временная;125215;координатор маркетинговых исследований;Adani Green Energy;102
44000;контракт;102180;агент колл-центра;Textron;94
44800;Временная;28776;Менеджер по работе с клиентами;Fiat Chrysler Automobiles N.V.;91
48800;Полная занятость;98633;Дизайнер по охране окружающей среды;Газировка;98
48000;контракт;50314;менеджер по работе с клиентами; BYD Company;102
49600; Полная занятость;44564;Дизайнер пользовательского интерфейса; Delta Air Lines;100
50400;временный;90785;IT бизнес-аналитик;Kinder Morgan;105
48800;стажер;42637;дизайнер интерфейсов;Avnet;106
44800;контракт;116311;аналитик социальных сетей;Workspace Group;95
48000;временный;55939;Дизайнер пользовательского интерфейса;CDW;100
50400;Стажер;68931;JavaScript разработчик;Tencent Holdings;109
52000;контракт;17240;юрист по вопросам опеки над детьми;Halma;111
47200;временная;126334;инженер беспроводных сетей;Lendlease Group;96
46400;Стажер;97779; специалист по анализу данных;AES;101
48800;контракт;123227;дизайнер взаимодействия;LKQ;104
49600;временный;104205;специалист по клинической медсестре;Bajaj Auto;104
47200;контракт;110052;юрист по опеке над детьми;Salesforce;100
47200;контракт;16918;юридический секретарь;Siemens India;100
52000;Стажер;124651;Бренд-менеджер по продукции;NextEra Energy;113
48000;стажер;108319;аналитик по контролю качества;Computacenter;104
52000;Полная занятость;31928; Специалист по анализу данных;ВК;105
47200;контракт;132326;Sales Account Executive;Hershey;100
52000;временная;55283;инженер по системам электропитания;TAG Immobilien AG;105
50400;Полная занятость;128578;Специалист по сетевой безопасности;Блок;102
44800;Полная занятость;78913; Менеджер по работе с клиентами;Linde plc;90
47200;неполный рабочий день;48567;дизайнер коммерческого интерьера;Nucor;100
44800;временная;130176;консультант по работе с зависимыми людьми;Gree Electric Appliances;91
47200;стажер;33129;архитектор облачных вычислений;DCP Midstream;102
48000; Полная занятость;21839;бизнес-аналитик данных;Balfour Beatty;97
44800;контракт;131126;координатор цепочки поставок;Ameriprise Financial;95
47200;неполный рабочий день;76529;разработчик мобильных приложений;Банковская группа;100
48000;контракт;49446;директор по уходу за больными;MetLife;102
52000;полный рабочий день;56862;ветеринар мелких животных;American Tower;111
49600;контракт;33592;инженер-химик;Expedia Group;106
49600;временная;90814;аналитик по исследованию рынка;Archer Daniels Midland;101
45600;контракт;34509;менеджер по инфраструктуре;Steel Dynamics;97
44800;Полная занятость;29841;QA Tester;Nestle India;90
44000;Стажер;72707;Аналитик по логистике;Playtech;95
48800;стажер;59984;менеджер ИТ-проектов;Uber Technologies;106
51200;временная;57908;менеджер по контролю качества;Графическая упаковка;104
52000;Неполный рабочий день;14167;Менеджер по работе с клиентами;Jubilant Foodworks;110
50400;Временная;122077; Веб-разработчик; AGCO;102
48800;временная;72890;разработчик баз данных;Diageo;99
50400;Неполный рабочий день;51195;Юридический секретарь;Continental Resources;107
44000;неполный рабочий день;118838;специалист по продажам медицинских услуг;Eversource Energy;93
44800;полный рабочий день;118067;офисный координатор;Аэрофлот;96
44000;контракт;35498;дизайнер взаимодействия;Avantor;94
45600;стажер;76972;дизайнер взаимодействия;Здоровье;99
44800;контракт;37063;представитель по внутренним продажам;BHEL;95
47200;полный рабочий день;37773;испытатель автоматики;Marathon Oil;101
48800;временный;40994;Дизайнер пользовательского интерфейса;Geely Automobile Holdings;102
49600; Полная занятость;77933;менеджер по работе с клиентами;Williams;100
48800;временная;84357;архитектор проектов;AES;99
45600; частичная занятость;86636;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries;100
47200;неполный рабочий день;130927;тестировщик производительности;Burberry Group;100
